,pace,grade,ngp
1,13.61666667,4,9.366666667
1,11.81666667,4.5,8.966666667
1,10.36666667,2.4,9.483333333
1,12.71666667,10.7,7.2
1,9.15,2.9,6.75
1,10.06666667,3.3,8.1
1,10.93333333,2.7,9.2
1,10.1,3.3,8.466666667
1,12.6,7.2,8.5
1,11.53333333,1.8,10.21666667
1,10.33333333,3,8.866666667
1,11.13333333,7.5,8.35
1,10.81666667,4.7,8.2
1,10.98333333,4.7,8.916666667
1,10.16666667,2.7,8.55
1,12.5,5.1,9.45
1,11.48333333,4.7,9.433333333
1,10.31666667,3.1,8.533333333
1,9.5,3.8,8.133333333
1,12.83333333,2.4,11.03333333
1,9.95,1.7,9.283333333
1,12.55,5.3,9.416666667
1,11.46666667,3.4,9.633333333
1,10.56666667,5.7,8.983333333
1,11.7,4.6,9.45
1,7.416666667,0.9,7.383333333
1,7.75,1.5,7.116666667
1,8.833333333,1.2,8.616666667
1,8.916666667,5.6,7.25
